Traj,wmTraj,month,depth,mean_N
2,Atlantic,1,0,10.343725204467773
2,Atlantic,1,5,10.400913079579672
2,Atlantic,1,10,10.494214296340942
2,Atlantic,1,15,10.573040088017782
2,Atlantic,1,20,10.553155819574991
2,Atlantic,1,25,10.47444494565328
2,Atlantic,1,30,10.353312889734903
2,Atlantic,1,35,10.355794588724772
2,Atlantic,1,40,10.484349568684896
2,Atlantic,1,45,10.52795378367106
2,Atlantic,1,50,10.634402831395468
2,Atlantic,1,55,10.729550997416178
2,Atlantic,1,60,10.792478879292807
2,Atlantic,1,65,10.818190574645996
2,Atlantic,1,70,10.848534345626831
2,Atlantic,1,75,10.8418816725413
2,Atlantic,1,80,11.050123453140259
2,Atlantic,1,85,11.084618409474691
2,Atlantic,1,90,11.057536522547403
2,Atlantic,1,95,11.165115594863892
2,Atlantic,1,100,11.153427044550577
2,Atlantic,1,125,11.003870487213135
2,Atlantic,1,150,10.875866254170736
2,Atlantic,1,175,11.164041519165039
2,Atlantic,1,200,10.945754607518515
2,Atlantic,1,225,11.37424890200297
2,Atlantic,1,250,11.36109471321106
2,Atlantic,1,275,11.39729102452596
2,Atlantic,1,300,11.354726394017538
2,Atlantic,1,325,11.578878005345663
2,Atlantic,1,350,11.68379314740499
2,Atlantic,1,375,11.76074743270874
2,Atlantic,1,400,11.991529623667398
2,Atlantic,1,425,11.803644100824991
2,Atlantic,1,450,11.915579636891684
2,Atlantic,1,475,12.317299048105875
2,Atlantic,1,500,12.910936789079146
2,Atlantic,1,550,12.364656708457254
2,Atlantic,1,600,12.538677909157492
2,Atlantic,1,650,14.113093116066672
2,Atlantic,1,700,12.604527733542703
2,Atlantic,1,750,14.005966013128107
2,Atlantic,1,800,15.021689761768688
2,Atlantic,2,0,11.173822508917915
2,Atlantic,2,5,11.112371126810709
2,Atlantic,2,10,11.143678665161133
2,Atlantic,2,15,11.034818119472927
2,Atlantic,2,20,11.022545390658909
2,Atlantic,2,25,11.028060701158312
2,Atlantic,2,30,11.035956488715279
2,Atlantic,2,35,11.061964352925619
2,Atlantic,2,40,11.081647660997179
2,Atlantic,2,45,11.098514450920952
2,Atlantic,2,50,11.172831747266981
2,Atlantic,2,55,11.214525964525011
2,Atlantic,2,60,11.244210349188911
2,Atlantic,2,65,11.263284047444662
2,Atlantic,2,70,11.297722074720594
2,Atlantic,2,75,11.313743909200033
2,Atlantic,2,80,11.492052290174696
2,Atlantic,2,85,11.567535400390625
2,Atlantic,2,90,11.617328219943577
2,Atlantic,2,95,11.664527363247341
2,Atlantic,2,100,11.961620118882921
2,Atlantic,2,125,12.226051542494032
2,Atlantic,2,150,12.327143139309353
2,Atlantic,2,175,12.378917588127983
2,Atlantic,2,200,12.547132809956869
