Traj,wmTraj,month,depth,mean_N
40,Atlantic,1,0,10.192450940608978
40,Atlantic,1,5,10.279351532459259
40,Atlantic,1,10,10.38602602481842
40,Atlantic,1,15,10.457240164279938
40,Atlantic,1,20,10.44226324558258
40,Atlantic,1,25,10.37634652853012
40,Atlantic,1,30,10.261119961738586
40,Atlantic,1,35,10.266699731349945
40,Atlantic,1,40,10.397216856479645
40,Atlantic,1,45,10.425644993782043
40,Atlantic,1,50,10.534924685955048
40,Atlantic,1,55,10.632872939109802
40,Atlantic,1,60,10.689204096794128
40,Atlantic,1,65,10.714864909648895
40,Atlantic,1,70,10.755266726016998
40,Atlantic,1,75,10.761903524398804
40,Atlantic,1,80,10.982468664646149
40,Atlantic,1,85,11.033983767032623
40,Atlantic,1,90,11.008683621883392
40,Atlantic,1,95,11.137364566326141
40,Atlantic,1,100,11.118084490299225
40,Atlantic,1,125,10.969318509101868
40,Atlantic,1,150,10.869222700595856
40,Atlantic,1,175,11.112229347229004
40,Atlantic,1,200,10.86137186686198
40,Atlantic,1,225,11.30412000020345
40,Atlantic,1,250,11.265775235493978
40,Atlantic,1,275,11.298626263936361
40,Atlantic,1,300,11.265504709879558
40,Atlantic,1,325,11.49189052581787
40,Atlantic,1,350,11.628071975708007
40,Atlantic,1,375,11.709744071960449
40,Atlantic,1,400,11.941952196756999
40,Atlantic,1,425,11.728892962137857
40,Atlantic,1,450,11.909857940673827
40,Atlantic,1,475,12.373144912719727
40,Atlantic,1,500,12.958584104265485
40,Atlantic,1,550,12.442173617226738
40,Atlantic,1,600,12.491649701045109
40,Atlantic,1,650,14.095296199505146
40,Atlantic,1,700,12.500449180603027
40,Atlantic,1,750,14.021848898667555
40,Atlantic,1,800,14.844294548034668
40,Atlantic,2,0,10.569258332252502
40,Atlantic,2,5,10.471620440483093
40,Atlantic,2,10,10.544636130332947
40,Atlantic,2,15,10.456643342971802
40,Atlantic,2,20,10.439058780670166
40,Atlantic,2,25,10.452816128730774
40,Atlantic,2,30,10.464464664459229
40,Atlantic,2,35,10.500611782073975
40,Atlantic,2,40,10.530109524726868
40,Atlantic,2,45,10.552425146102905
40,Atlantic,2,50,10.685727596282959
40,Atlantic,2,55,10.736824750900269
40,Atlantic,2,60,10.773627996444702
40,Atlantic,2,65,10.802088379859924
40,Atlantic,2,70,10.854388236999512
40,Atlantic,2,75,10.870903968811035
40,Atlantic,2,80,11.153767108917236
40,Atlantic,2,85,11.232114791870117
40,Atlantic,2,90,11.387549638748169
40,Atlantic,2,95,11.423831105232239
40,Atlantic,2,100,11.776062250137329
40,Atlantic,2,125,12.231300711631775
40,Atlantic,2,150,12.324526309967041
40,Atlantic,2,175,12.358050465583801
40,Atlantic,2,200,12.605737447738647
40,Atlantic,2,225,12.688141107559204
40,Atlantic,2,250,12.472381949424744
40,Atlantic,2,275,12.51217246055603
40,Atlantic,2,300,12.542889475822449
40,Atlantic,2,325,12.540302753448486
40,Atlantic,2,350,12.572427034378052
40,Atlantic,2,375,12.646861910820007
40,Atlantic,2,400,12.928432822227478
40,Atlantic,2,425,12.902006149291992
40,Atlantic,2,450,13.132043838500977
40,Atlantic,2,475,13.297704577445984
40,Atlantic,2,500,13.35948440006801
40,Atlantic,2,550,13.87667451586042
40,Atlantic,2,600,13.535746846880231
40,Atlantic,2,650,13.676608903067452
40,Atlantic,2,700,14.029307092939105
40,Atlantic,2,750,13.614567075456891
40,Atlantic,2,800,14.387212344578334
40,Atlantic,3,0,10.958390998840333
40,Atlantic,3,5,10.97607250213623
40,Atlantic,3,10,11.32567253112793
40,Atlantic,3,15,11.56203556060791
40,Atlantic,3,20,11.489238929748534
40,Atlantic,3,25,11.644246482849121
40,Atlantic,3,30,11.599315452575684
40,Atlantic,3,35,11.692391395568848
40,Atlantic,3,40,11.694775581359863
40,Atlantic,3,45,11.712972640991211
40,Atlantic,3,50,11.753197860717773
40,Atlantic,3,55,11.77997932434082
40,Atlantic,3,60,11.838483238220215
40,Atlantic,3,65,11.866925048828126
40,Atlantic,3,70,11.91460132598877
40,Atlantic,3,75,11.93321590423584
40,Atlantic,3,80,11.960164070129395
40,Atlantic,3,85,11.960001945495605
40,Atlantic,3,90,12.04228172302246
40,Atlantic,3,95,12.08563232421875
40,Atlantic,3,100,12.545921134948731
40,Atlantic,3,125,12.493892097473145
40,Atlantic,3,150,12.446776580810546
40,Atlantic,3,175,12.43812313079834
40,Atlantic,3,200,12.294484710693359
40,Atlantic,3,225,12.364487266540527
40,Atlantic,3,250,12.220388793945313
40,Atlantic,3,275,12.232468032836914
40,Atlantic,3,300,12.433359146118164
40,Atlantic,3,325,12.406806373596192
40,Atlantic,3,350,12.494761085510254
40,Atlantic,3,375,12.507245445251465
40,Atlantic,3,400,12.56701717376709
40,Atlantic,3,425,12.555328941345214
40,Atlantic,3,450,12.687050056457519
40,Atlantic,3,475,12.656875228881836
40,Atlantic,3,500,12.550773811340331
40,Atlantic,3,550,12.731809043884278
40,Atlantic,3,600,13.090842056274415
40,Atlantic,3,650,13.418523025512695
40,Atlantic,3,700,13.617660331726075
40,Atlantic,3,750,13.912848854064942
40,Atlantic,3,800,14.102590179443359
40,Atlantic,4,0,10.119323253631592
40,Atlantic,4,5,10.02418303489685
40,Atlantic,4,10,10.41948652267456
40,Atlantic,4,15,10.614903092384338
40,Atlantic,4,20,10.710736513137817
40,Atlantic,4,25,10.873404622077942
40,Atlantic,4,30,11.003448724746704
40,Atlantic,4,35,11.11856758594513
40,Atlantic,4,40,11.347594857215881
40,Atlantic,4,45,11.410610437393188
40,Atlantic,4,50,11.512118577957153
40,Atlantic,4,55,11.497881889343262
40,Atlantic,4,60,11.490142703056335
40,Atlantic,4,65,11.558516144752502
40,Atlantic,4,70,11.803050875663757
40,Atlantic,4,75,11.823690533638
40,Atlantic,4,80,11.945154666900635
40,Atlantic,4,85,11.907913446426392
40,Atlantic,4,90,11.922340154647827
40,Atlantic,4,95,11.960857033729553
40,Atlantic,4,100,11.947601079940796
40,Atlantic,4,125,12.005092859268188
40,Atlantic,4,150,11.702800989151001
40,Atlantic,4,175,12.071549892425537
40,Atlantic,4,200,12.303659319877625
40,Atlantic,4,225,12.173623442649841
40,Atlantic,4,250,12.143539905548096
40,Atlantic,4,275,11.927141070365906
40,Atlantic,4,300,11.96278691291809
40,Atlantic,4,325,12.024632334709167
40,Atlantic,4,350,12.229962229728699
40,Atlantic,4,375,12.161910653114319
40,Atlantic,4,400,12.294071793556213
40,Atlantic,4,425,12.194841504096985
40,Atlantic,4,450,12.512325286865234
40,Atlantic,4,475,12.607109427452087
40,Atlantic,4,500,12.976659417152405
40,Atlantic,4,550,13.185069799423218
40,Atlantic,4,600,13.196144461631775
40,Atlantic,4,650,14.475446224212646
40,Atlantic,4,700,13.306190848350525
40,Atlantic,4,750,14.29514455795288
40,Atlantic,4,800,14.244440078735352
40,Atlantic,5,0,4.537673036257426
40,Atlantic,5,5,4.596530616283417
40,Atlantic,5,10,4.98991471529007
40,Atlantic,5,15,5.430581867694855
40,Atlantic,5,20,5.919592221577962
40,Atlantic,5,25,6.483145117759705
40,Atlantic,5,30,7.054736097653707
40,Atlantic,5,35,7.582034587860107
40,Atlantic,5,40,8.038580695788065
40,Atlantic,5,45,8.438660979270935
40,Atlantic,5,50,8.727482875188192
40,Atlantic,5,55,9.030164003372192
40,Atlantic,5,60,9.26938303311666
40,Atlantic,5,65,9.484047333399454
40,Atlantic,5,70,9.688637018203735
40,Atlantic,5,75,9.873956680297852
40,Atlantic,5,80,10.030174255371094
40,Atlantic,5,85,10.133584022521973
40,Atlantic,5,90,10.220150232315063
40,Atlantic,5,95,10.397373278935751
40,Atlantic,5,100,10.549524943033854
40,Atlantic,5,125,10.959755818049112
40,Atlantic,5,150,10.536583662033081
40,Atlantic,5,175,10.756516377131144
40,Atlantic,5,200,11.753909371115945
40,Atlantic,5,225,10.94860200881958
40,Atlantic,5,250,10.90961332321167
40,Atlantic,5,275,10.87600040435791
40,Atlantic,5,300,10.6218337059021
40,Atlantic,5,325,10.683778285980225
40,Atlantic,5,350,10.845858573913574
40,Atlantic,5,375,10.971606254577637
40,Atlantic,5,400,11.218625164031982
40,Atlantic,5,425,11.12200345993042
40,Atlantic,5,450,11.287291336059571
40,Atlantic,5,475,11.331419277191163
